AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC5m,ATSC6m,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,Atomic_Number,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,MPC,Boiling Point (°C),Target
1.902298851,-25.91676576,-32.25208086,-3.405469679,76.88580041,182.2579589,0.026475149,-2.986244747,-0.288318895,0.159334126,48.0,158.0,7.2,-70.0,8.994,8.69,46.07,24.3,0.3,78.37,0.65196
1.902298851,-25.91676576,-32.25208086,-3.405469679,76.88580041,182.2579589,0.026475149,-2.986244747,-0.288318895,0.159334126,25.0,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.32,65.0,0.64934
3.81712963,1.750297265,-61.79310345,34.89179548,-113.0903355,355.1154057,-3.370697979,-13.30086095,-1.511296076,-0.034284582,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.2514
3.81712963,1.750297265,-61.79310345,34.89179548,-113.0903355,355.1154057,-3.370697979,-13.30086095,-1.511296076,-0.034284582,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.35352
4.208994709,0.888888889,-42.44444444,-25.77777778,302.011838,-21.964198,-1.979622222,-13.71323248,-0.811965812,0.706349206,27.0,192.0,7.5,64.0,7.881,8.86,78.11,2.2,0.16,80.1,0.11976
4.387152778,3.511966701,-55.38189386,-75.10093652,472.9017234,151.7267787,-3.170322477,-17.78670351,-0.692790248,0.916915973,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.6467
6.089439787,-15.0,-14.0,0.0,0.0,0.0,0.276033333,-1.484482744,4.0,0.983015531,27.0,192.0,7.5,64.0,7.881,8.86,107.17,12.4,0.2,115.0,0.34642
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.30718
5.041666667,19.7037037,-67.62962963,-57.77777778,450.227394,136.932714,-5.2824,-20.14249843,-0.946502058,0.549382716,48.0,158.0,7.2,-70.0,8.994,8.69,60.1,17.9,0.28,82.0,0.10514
5.296296296,-7.893491124,-10.73372781,8.544378698,-12.76078418,-58.33805251,0.007144379,6.865841642,-0.598478445,-0.780407627,25.0,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.32,65.0,0.09574
