AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,72.1,7.58,0.888,0.22,66.0,257.228
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,54.8149
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,4435.8
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,26.981538,184.0,8.3,42.0,5.986,2.7,106.17,2.38,2.56,0.17,138.0,1485.57
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,1403.7
6.222222222,-4.211072664,-38.5467128,-30.12566296,91.82694363,79.5168395,-24.15715809,7.467128028,-0.123804066,63.55,140.0,6.7,119.0,7.726,8.933,41.05,37.5,0.34,0.26,81.6,888.7889
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,58.93319,192.0,7.5,64.0,7.881,8.86,100.16,2.02,0.778,0.28,81.0,609.958
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,63.55,140.0,6.7,119.0,7.726,8.933,41.05,37.5,0.34,0.26,81.6,404.47
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,356.987
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,37.8,0.937,0.25,166.0,146.449
9.730639731,3.08,-49.63,-25.83376716,-40.33740763,-13.73447361,-17.00759267,7.89,2.545874964,150.4,229.0,28.8,16.0,5.644,7.52,73.09,36.7,-0.85,0.37,153.0,308.05
9.730639731,3.08,-49.63,-25.83376716,-40.33740763,-13.73447361,-17.00759267,7.89,2.545874964,157.2,237.0,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,302.673
9.730639731,3.08,-49.63,-25.83376716,-40.33740763,-13.73447361,-17.00759267,7.89,2.545874964,167.26,235.0,22.7,30.0,6.108,9.07,73.09,36.7,-0.85,0.37,153.0,289.918
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,68.7349
