AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC6pe,AATSC5dv,AATSC0v,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,Boiling Point (°C),Target
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,64.0,157.2,237.0,13.0,6.15,7.9,73.09,36.7,-0.85,153.0,1.6437
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,31.0,69.723,187.0,41.0,5.999,5.91,79.1,12.4,0.68,115.0,1.24485
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,31.0,69.723,187.0,41.0,5.999,5.91,79.1,12.4,0.68,115.0,1.14518
169.7560012,1.0,-48.0,76.0,-185.0902213,0.0,0.983015531,40.72487636,3.244016936,0.0909,12.0,24.305,173.0,-40.0,7.646,1.74,87.12,37.8,0.937,166.0,0.897244
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,66.0,162.5,229.0,34.0,5.939,8.55,73.09,36.7,-0.85,153.0,1.76954
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,66.0,162.5,229.0,34.0,5.939,8.55,73.09,36.7,-0.85,153.0,1.76597
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,66.0,162.5,229.0,34.0,5.939,8.55,41.05,37.5,0.34,81.6,1.82931
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.15008
169.7560012,1.0,-48.0,76.0,-185.0902213,0.0,0.983015531,40.72487636,3.244016936,0.0909,25.0,54.93804,197.0,-50.0,7.434,7.3,73.09,36.7,-0.85,153.0,1.51085
156.5272456,3.511966701,-55.38189386,227.4193548,-574.6817201,2.457642248,0.916915973,43.57578391,10.26908972,2.4482,27.0,58.93319,192.0,64.0,7.881,8.86,87.12,37.8,0.937,166.0,1.24102
156.5272456,3.511966701,-55.38189386,227.4193548,-574.6817201,2.457642248,0.916915973,43.57578391,10.26908972,2.4482,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.23466
156.5272456,3.511966701,-55.38189386,227.4193548,-574.6817201,2.457642248,0.916915973,43.57578391,10.26908972,2.4482,28.0,58.693,163.0,112.0,7.64,8.912,73.09,36.7,-0.85,153.0,1.22897
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,64.0,157.2,237.0,13.0,6.15,7.9,73.09,36.7,-0.85,153.0,1.63981
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,64.0,157.2,237.0,13.0,6.15,7.9,46.07,24.3,-0.31,78.37,1.82271
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,64.0,157.2,237.0,13.0,6.15,7.9,46.07,24.3,-0.31,78.37,1.81428
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,29.0,63.55,140.0,119.0,7.726,8.933,46.07,24.3,-0.31,78.37,1.3394
169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.983015531,34.11764866,3.207106781,-0.2992,27.0,58.93319,192.0,64.0,7.881,8.86,58.08,20.7,-0.24,56.05,1.77302
169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.983015531,34.11764866,3.207106781,-0.2992,27.0,58.93319,192.0,64.0,7.881,8.86,41.05,37.5,0.34,81.6,1.84563
169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.983015531,34.11764866,3.207106781,-0.2992,27.0,58.93319,192.0,64.0,7.881,8.86,72.1,7.58,0.888,66.0,1.79444
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,63.0,151.964,233.0,83.0,5.67,5.24,73.09,36.7,-0.85,153.0,1.786
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,0.493456
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,13.0,26.981538,184.0,42.0,5.986,2.7,106.17,2.38,2.56,138.0,0.945828
177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,2.851008,-0.58680776,42.01586201,6.816819862,1.1445,48.0,112.41,158.0,-70.0,8.994,8.69,87.12,32.2,-0.85,165.1,1.1199
174.5860367,-4.211072664,-30.1349481,126.9411765,-476.228019,1.075936332,1.258362168,38.72707241,6.828547389,0.478,29.0,63.55,140.0,119.0,7.726,8.933,41.05,37.5,0.34,81.6,1.43788
169.7560012,-15.0,-14.0,66.0,-184.8704272,0.0,0.983015531,45.11253556,0.0,0.4097,27.0,58.93319,192.0,64.0,7.881,8.86,100.16,2.02,0.778,81.0,1.09166
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,29.0,63.55,140.0,119.0,7.726,8.933,41.05,37.5,0.34,81.6,1.28146
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.35458
156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,4.347911296,-0.034284582,45.3051226,8.902059979,2.8753,27.0,58.93319,192.0,64.0,7.881,8.86,87.12,37.8,0.937,166.0,1.33194
174.4868462,3.08,-39.83,157.8,-361.7364237,-2.239168,-0.244545455,38.65938397,10.35516291,0.4942,62.0,150.4,229.0,16.0,5.644,7.52,73.09,36.7,-0.85,153.0,1.47781
174.4868462,3.08,-39.83,157.8,-361.7364237,-2.239168,-0.244545455,38.65938397,10.35516291,0.4942,64.0,157.2,237.0,13.0,6.15,7.9,73.09,36.7,-0.85,153.0,1.4997
174.4868462,3.08,-39.83,157.8,-361.7364237,-2.239168,-0.244545455,38.65938397,10.35516291,0.4942,68.0,167.26,235.0,30.0,6.108,9.07,73.09,36.7,-0.85,153.0,1.53088
157.6435699,1.0,-45.5,203.0,-407.0307408,1.491045918,0.305555556,46.91945671,6.836984153,2.75,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.32726
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,27.0,58.93319,192.0,64.0,7.881,8.86,32.04,32.7,0.791,65.0,1.5397
155.9380745,2.0,-72.0,248.0,-759.8481655,2.212167474,1.162162162,40.7487866,13.70205868,2.1464,63.0,151.964,233.0,83.0,5.67,5.24,73.09,36.7,-0.85,153.0,1.30205
