AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
3.720867209,-1.668639053,-43.73964497,32.66863905,31.30177515,-5.586456279,-32.94045473,292.8465004,-140.2220272,281.4722231,-1.561618935,-19.25705899,-1.231715976,0.138115168,-0.39660291,-12.23068983,5.868414588,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.38894
3.720867209,-1.668639053,-43.73964497,32.66863905,31.30177515,-5.586456279,-32.94045473,292.8465004,-140.2220272,281.4722231,-1.561618935,-19.25705899,-1.231715976,0.138115168,-0.39660291,-12.23068983,5.868414588,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.4728
3.720867209,-1.668639053,-43.73964497,32.66863905,31.30177515,-5.586456279,-32.94045473,292.8465004,-140.2220272,281.4722231,-1.561618935,-19.25705899,-1.231715976,0.138115168,-0.39660291,-12.23068983,5.868414588,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.41376
3.05026455,-6.633217993,-80.28373702,-33.34256055,59.14071511,5.958477509,148.3771986,511.8979713,-272.2080821,911.6421651,-2.7619609,-21.2120641,-0.719723183,0.171033119,-0.588251461,-3.294897112,25.42293713,28.0,58.693,163.0,4.4,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,0.17526
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,31.0,69.723,187.0,3.2,8.1,41.0,5.999,5.91,79.1,12.4,0.68,0.19,115.0,0.4097
1.98,-32.1183432,-38.14792899,-0.355029586,-1.452662722,-4.14809336,353.8847124,30.28157643,-262.3018224,674.3291608,-0.007770414,-3.734622442,-0.080648696,0.468639053,-4.935734901,0.844572563,8.226944444,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.09162
3.81712963,1.750297265,-61.79310345,34.89179548,36.66115075,-6.680076628,-113.0903355,355.1154057,-315.5260643,121.3910449,-3.370697979,-13.30086095,-1.511296076,-0.034284582,-0.011326782,-1.016590183,11.88033846,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.32014
3.720867209,-1.668639053,-43.73964497,32.66863905,31.30177515,-5.586456279,-32.94045473,292.8465004,-140.2220272,281.4722231,-1.561618935,-19.25705899,-1.231715976,0.138115168,-0.39660291,-12.23068983,5.868414588,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,0.6844
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.30672
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.56822
