code,SMILES,Metal,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Density
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.37794
ALICEE,C1=NC=NN1,Cu,0,1,180.2577321,169.7560012,-17.75,-13.75,60,-169.0754127,112.793618,0,0,0,6.25,0.983015531,12.25,37.55963231,-6.221649491,25.648125,0,-0.1953,29,63.55,140,4.48,6.7,119,7.726,8.933,1.69743
ALICII,C1=NC=NN1,Cu,0,1,180.2577321,169.7560012,-17.75,-13.75,60,-169.0754127,112.793618,0,0,0,6.25,0.983015531,12.25,37.55963231,-6.221649491,25.648125,0,-0.1953,29,63.55,140,4.48,6.7,119,7.726,8.933,1.508
ALIFUY,C1=CN=CC=C1C2=CC=NC=C2,Cd,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,48,112.41,158,4.33,7.2,-70,8.994,8.69,1.3821
ALIQUH,C(=O)(C(=O)O)O,Mn,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1.68858
ALOLIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Mn,7.7,4.858333333,157.6910737,155.9380745,2,-72,248,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,-0.475,1.162162162,-1.45,40.7487866,7.137168855,27.40525765,13.70205868,2.1464,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1.47534
ALOLOD,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,In,7.527777778,5.595679012,160.5851153,178.4766186,-0.872576177,-39.95567867,148.9473684,-479.2679442,5.313848326,-171.0374962,-0.822231579,7.749371444,-0.159510619,1.383336885,-0.478224069,40.68554192,8.082498684,28.99300178,8.591393826,0.7886,49,114.818,193,3.1,9.7,29,5.786,7.31,0.794925
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,0.730232
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,62,150.4,229,3.1,28.8,16,5.644,7.52,0.743905
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,63,151.964,233,3.1,27.7,83,5.67,5.24,0.746608
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,64,157.2,237,3.1,23.5,13,6.15,7.9,0.755928
ALULID,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,0.975857
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.06011
AMILUE,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.03371
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.04061
AMIMEP,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.03751
AMIYIG,C(=O)O,Fe,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,1.47241
AMIZAZ,C(=O)O,Ni,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,1.59075
AMIZAZ01,C(=O)O,Ni,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,1.58546
AMIZAZ02,C(=O)O,Ni,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,1.57248
AMIZON,C(=O)O,Cu,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,29,63.55,140,4.48,6.7,119,7.726,8.933,1.58305
AMIZON01,C(=O)O,Cu,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,29,63.55,140,4.48,6.7,119,7.726,8.933,1.57204
AMOMUM,C(=O)O,Fe,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,1.4919
AMONAT,C(=O)O,Fe,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,1.48528
AMUCOB,C(CC(=O)O)CC(=O)O,Ca,2.222222222,4.127572016,167.9481259,178.7720847,11.88927336,-54.35294118,155.7647059,-148.8894545,35.20524829,13.27482913,3.516550865,1.919941941,-1.293348712,-0.744329104,-0.796616686,42.78332994,0.360561241,24.13678236,6.749993194,0.3259,20,40.08,231,2.2,22.8,2,6.113,1.54,2.19253
AMUFIZ,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,6.925,5.625,165.7013338,180.3884639,11.94375857,-78.79012346,239.1851852,-426.1582079,-127.5180543,-263.8178976,5.198686145,9.158202415,-0.705932785,0.529633664,-0.687877229,40.35329573,6.70236291,25.87620586,13.69858567,-0.8067,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.71657
AMUFOF,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,6.925,5.625,165.7013338,180.3884639,11.94375857,-78.79012346,239.1851852,-426.1582079,-127.5180543,-263.8178976,5.198686145,9.158202415,-0.705932785,0.529633664,-0.687877229,40.35329573,6.70236291,25.87620586,13.69858567,-0.8067,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.44877
AMURUX,C(=O)O,Mg,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,12,24.305,173,3.75,10.6,-40,7.646,1.74,1.25465
